SNWMSS_ID,LCTN_ID,LCTN_NM,ELEVATION,STATUS,LATITUDE,LONGITUDE,SHAPE,OBJECTID,X_COORDINATE,Y_COORDINATE
142,2A23,Bush River,1920,Active,51.717708,-117.424686,,1147366,1590199.818,780832.4882000014
143,2A24,Mount Copeland,1700,Inactive,51.104209,-118.468589,,1147367,1525901.1087999996,704690.8693000013
144,2A25,Kirbyville Lake,1750,Active,51.567427,-118.771627,,1147368,1499555.6945999982,753821.1042999998
145,2A26,Bugaboo Creek,1510,Inactive,50.75542,-116.705841,,1147369,1653433.931299999,680805.4623000054
146,2A27,Downie Slide Lower,980,Active,51.512484,-118.530392,,1147370,1516811.4361000007,749463.5638000024
147,2A28,Downie Site 8,1250,Inactive,51.426101,-118.497077,,1147371,1520126.0003000004,740136.4269999983
148,2A29,Downie Slide Upper,1630,Active,51.500781,-118.553332,,1147372,1515366.9801000003,747999.5425999966
149,2B01,Revelstoke,560,Inactive,50.982139,-118.1772,,1147373,1547666.055800001,693385.1039000032
150,2B02,Farron,1220,Inactive,49.316909,-118.117973,,1147374,1572379.1403,509738.2449999964
151,2B02A,Farron,1220,Active,49.27011,-118.13003,,1147375,1572084.1104000001,504472.7669000011
152,2B03,Old Glory Mountain,2130,Inactive,49.141639,-117.978668,,1147376,1584654.0859999994,491525.77320000064
153,2B04,Whatshan Lower,1250,Inactive,50.126705,-117.981803,,1147377,1572049.319599999,600309.5657000048
154,2B05,Whatshan Upper,1525,Active,50.188006,-118.043208,,1147378,1566922.0857999981,606592.1528000049
155,2B06,Barnes Creek,1620,Inactive,50.067779,-118.355834,,1147379,1546177.2983999993,590840.3753999947
156,2B07,Koch Creek,1860,Active,49.718123,-117.975701,,1147380,1577622.5777999996,555209.1592000015
157,2B08,St. Leon Creek,1860,Inactive,50.435197,-117.703592,,1147381,1587794.9682999994,636687.0231000055
158,2B09,Record Mountain,1890,Active,49.10136,-117.872,,1147382,1592907.4871999987,487967.50140000135
159,2C01,Sinclair Pass,1370,Active,50.663786,-115.959958,,1147383,1706976.9656000007,677865.6995000038
160,2C02,Fernie,1070,Inactive,49.558391,-115.041236,,1147384,1790133.775500001,565959.0301999915
161,2C02A,Fernie (Ne),1070,Inactive,49.524391,-115.031311,,1147385,1791426.8864999996,562335.7678999994
162,2C03,Kimberley,1160,Inactive,49.677501,-115.987556,,1147386,1720514.2534000012,568958.7414999949
163,2C03A,Kimberley,1160,Inactive,49.710758,-115.847846,,1147387,1729971.0602999995,574050.1795000061
164,2C04,Sullivan Mine,1550,Active,49.728611,-116.016944,,1147388,1717614.7915000007,574286.2468999978
165,2C05,Marble Canyon,1520,Inactive,51.194351,-116.134208,,1147389,1686580.0521000004,734649.6738000065
166,2C06,Upper Elk River,1340,Inactive,49.993644,-114.920455,,1147390,1791227.5322999998,615120.7645999976
167,2C07,Fernie East,1250,Inactive,49.508335,-115.016944,,1147391,1792730.9644000004,560733.2416000031
168,2C08,Fernie Ridge,1710,Inactive,49.598873,-115.044288,,1147392,1789221.8224999993,570371.3187000016
169,2C09,Morrissey Ridge,1860,Inactive,49.480876,-114.958244,,1147393,1797407.5892,558377.2870999994
170,2C09A,Morrissey Ridge,1800,Inactive,49.448219,-114.970199,,1147394,1797114.4707999988,554656.9913999997
171,2C10,Moyie Mountain,1835,Inactive,49.2515,-115.7739,,1147395,1742599.1731999991,524301.5666000023
172,2C11,Kimberley (Upper) VOR,2140,Active,49.559165,-116.084724,,1147396,1715404.4348000018,554947.9439999992
173,2C12,Kimberley (Middle)VOR,1680,Active,49.559165,-116.050834,,1147397,1717833.5646000006,555291.0092999963
174,2C13,Kimberley (Lower) Vor,1370,Inactive,49.538925,-116.034584,,1147398,1719313.9249000016,553228.3160000006
175,2C14,Floe Lake,2090,Inactive,51.057533,-116.137478,,1147399,1688470.1584,719526.6925999951
176,2C15,Mount Assiniboine,2230,Active,50.915001,-115.610001,,1147400,1727354.887800001,709090.4566999944
177,2C16,Mount Joffre,1750,Inactive,50.533848,-115.126447,,1147401,1767437.7963999987,672239.0907000052
178,2C17,Thunder Creek,2010,Active,50.047494,-115.233712,,1147402,1768124.6475999998,617589.3766000001
179,2C18,Vermilion River No.1,1680,Inactive,51.237655,-116.214782,,1147403,1680344.0146,738649.1006999994
180,2C19,Vermilion River No.2,1610,Inactive,51.181694,-116.216186,,1147404,1681105.7924000002,732461.4825999988
181,2C20,Vermilion River No. 3,1570,Inactive,51.203334,-116.067779,,1147405,1691032.7791000004,736286.8792000003
182,2C21,Vermilion River No.4,1680,Inactive,51.249198,-116.111,,1147406,1687333.9580000013,740925.0609000018
183,2C22,Vermilion River No.5,1570,Inactive,51.242744,-116.175338,,1147407,1682990.4505999999,739590.3736000052
184,2D01,Gerrard,1620,Inactive,50.56641,-117.221191,,1147408,1619995.8108,655300.2964999955
185,2D02,Ferguson,880,Active,50.677776,-117.46177,,1147409,1601597.184300001,665528.924999998
186,2D03,Sandon,1070,Active,49.976056,-117.226417,,1147410,1627748.8306000016,590070.6028000005
187,2D04,Nelson,930,Active,49.41761,-117.228083,,1147411,1635304.1083000011,528442.6736000003
188,2D05,Gray Creek Lower,1650,Active,49.61219,-116.67959,,1147412,1671966.2650000008,554959.1008999916
189,2D06,Char Creek,1310,Active,49.1,-116.95,,1147413,1659835.2545000012,495975.5746999951
190,2D07,Duncan Lake,650,Inactive,50.236881,-116.879463,,1147414,1648710.5523000013,621982.7288999986
191,2D07A,Duncan Lake No. 2,630,Active,50.260722,-116.960167,,1147415,1642663.9471999994,623877.548700003
192,2D08,East Creek,2030,Inactive,50.639759,-116.925758,,1147416,1639704.2686999985,666028.8461000063
193,2D09,Mount Templeman,1860,Active,50.715843,-117.20171,,1147417,1619302.4617999988,671977.6070000092
194,2D10,Gray Creek Upper,1930,Active,49.61656,-116.6589,,1147418,1673385.3603000017,555637.2974999975
195,2D11,Arrow Creek,1620,Inactive,49.264732,-116.521919,,1147419,1688421.1553000004,518197.1143999994
196,2D12,Harlow Creek,1920,Inactive,50.183761,-117.571823,,1147420,1600410.0092000007,610009.4783999929
197,2D13,Meadow Mountain,1990,Inactive,50.231918,-117.057838,,1147421,1636161.1841000002,619816.2613999937
198,2D17,Lost Ledge,2050,Active,50.070774,-116.97911,,1147422,1644010.1129999994,602744.6975999996
199,2D18,Purcell,2060,Active,50.098135,-116.81117,,1147423,1655538.7609000006,607304.7082000002
200,2E01,Monashee Pass,1370,Active,50.083422,-118.507165,,1147424,1535221.6484999992,591414.7022999981
201,2E02,Carmi,1250,Active,49.49678,-119.0909,,1147425,1500019.3346999993,522250.4760999996
202,2E03,Big White Mountain,1680,Active,49.72017,-118.9722,,1147426,1506120.4674999989,547807.7132000048
203,2E04,Trapping Creek,930,Inactive,49.566,-119.0484,,1147427,1502330.9025999997,530208.745699998
204,2E04A,Trapping Creek (Upper),1350,Inactive,49.664199,-118.963592,,1147428,1507355.8650000007,541677.0518000051
205,2E05,Trapping Creek (Lower),930,Inactive,49.577629,-118.942749,,1147429,1509811.595300001,532250.4040999953
206,2E06,Bluejoint Mountain,2040,Inactive,49.542221,-118.525276,,1147430,1540275.4034000002,531431.4126999993
207,2F01,Trout Creek,1430,Inactive,49.73744,-120.1844,,1147431,1418881.0248000002,541800.2965999963
208,2F01A,Trout Creek West,1430,Active,49.74017,-120.1891,,1147432,1418518.3697999988,542075.0217000041
209,2F02,Summerland Reservoir,1280,Active,49.81291,-120.01549,,1147433,1430309.9672999992,551176.1319999984
210,2F03,McCulloch,1280,Active,49.78831,-119.1933,,1147434,1489520.054099999,553793.3562000059
211,2F04,Graystoke Lake,1840,Active,49.98867,-118.8686,,1147435,1510553.5030000005,578261.5160000017
212,2F05,Mission Creek,1780,Inactive,49.94467,-118.9497,,1147436,1505253.2693000003,572810.325600001
213,2F06,Bouleau Creek,1520,Inactive,50.375961,-119.557601,,1147437,1457454.0465999986,616441.7805999992
214,2F07,Postill Lake,1370,Active,49.99889,-119.2149,,1147438,1485730.2065999988,576955.9649999999
215,2F08,Greyback Reservoir,1550,Active,49.616344,-119.422678,,1147439,1474845.9913999992,533196.5793000087
216,2F09,Whiterocks Mountain,1780,Active,50.01722,-119.7454,,1147440,1447676.0690000001,575488.7913000034
217,2F10,Silver Star Mountain,1840,Active,50.37136,-119.0621,,1147441,1492579.4036999994,619256.8985000001
218,2F11,Isintok Lake,1680,Active,49.551,-119.96686,,1147442,1436276.8625000005,522459.43039999995
219,2F12,Mount Kobau,1810,Active,49.11861,-119.67778,,1147443,1461412.293,476426.2291000029
220,2F13,Esperon Creek Upper,1620,Active,50.08094,-119.74167,,1147444,1447316.5548999999,582572.6884999992
221,2F14,Esperon Creek Middle,1420,Active,50.06953,-119.69869,,1147445,1450493.3065000016,581580.9725000001
